Name,Image,Manufacturer,Country,Category,is_alternative,brand
"Adio","https://res-2.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/bfaoojn23kyggw6zvzba","Coolest Bottle","Egypt","Beverages","1","7up"
"Double Dare","https://res-1.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/eazqpcfahwc4d5afkcvo","MT Group","Egypt","Beverages","1","7up"
"Buzz","https://res-1.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/fwyydxutg8fdhemy5a9d","Al waad investment company","Egypt","Beverages","1","7up"
"Oasis carbonated soft drink","https://res-1.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/vafpztm3mturb7rtf0rk","Coolest Bottle","Egypt","Beverages","1","7up"
"Spiro Spathis","https://res-5.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/qkssgbrykx2ynttxpkeb","MYMCO For Food And Beverage Company","Egypt","Beverages","1","7up"
"First One","https://res-5.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/uqnasey54rnvxn3e9wgc","United Egypt Company","Egypt","Beverages","1","7up"
"UGO","https://res-2.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/a8gabsygsmosuoiskctf","Management Gate","Egypt","Beverages","1","7up"
"V7","https://res-3.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/s3yjcyqkdxrrxhnwoz9l","V7 Benefits","Egypt","Beverages","1","7up"
"V Super Soda","https://res-5.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/l7memtbkdezqac6uquty","V7 Benefits","Egypt","Beverages","1","7up"
"SinaCola","https://res-1.cloudinary.com/drw5mayau/image/upload/c_thumb,g_center,h_200,w_200/mo78mrb82uwxg5f0ly2h","SinaCola","Egypt","Beverages","1","7up"
